,Year,Entity,Code,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Solar Consumption - EJ,Hydro Consumption - EJ,Nuclear Consumption - EJ,Wind Consumption - EJ,Geo Biomass Other - EJ,Biofuels (TWh),Access to clean fuels and technologies for cooking  (% of population),Annual change primary energy consumption (%),Annual CO2 emissions per unit energy (kg per kilowatt-hour),Electricity Generation (TWh),Electricity from coal (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh),Energy consumption per GDP (kWh per $),Fossil fuels (% sub energy),Low-carbon energy (% sub energy),Nuclear (% sub energy),Per capita electricity (kWh),Energy consumption per capita (kWh),Primary energy consumption (TWh),Coal (% electricity),Gas (% electricity),Hydro (% electricity),Solar (% electricity),Wind (% electricity),Oil (% electricity),Nuclear (% electricity),Other renewables (% electricity),Fossil fuels (% electricity),Low-carbon electricity (% electricity),Nuclear (% electricity),Renewables (% electricity),Access to electricity (% of population)
0,1965,India,IND,146.99525009610602,2.372521898016,413.40768185244485,0.0,53.241536482084,0.0,0.0,0.0,0.0,,,0.2498,,,,,,,,,,0.995,91.35700000000001,8.642999999999999,0.0,,1234.1989999999998,616.0169999999999,,,,,,,,,,,,,
1,1966,India,IND,164.149812986412,2.663272130616,412.41569120025565,0.0,55.598551701028,0.0,0.0,0.0,0.0,,3.054,0.2513,,,,,,,,,,1.041,91.242,8.758,0.0,,1245.6580000000001,634.827,,,,,,,,,,,,,
2,1967,India,IND,169.360363543738,3.558782847024,419.28558683640676,0.0,62.215380883376,0.0,0.0,0.0,0.0,,3.0860000000000003,0.2441,,,,,,,,,,1.016,90.493,9.507,0.0,,1257.53,654.42,,,,,,,,,,,,,
3,1968,India,IND,189.771047372272,3.95420316336,433.8250641066126,0.0,71.803031331268,0.0,0.0,0.0,0.0,,6.8660000000000005,0.2492,,,,,,,,,,1.094,89.73299999999999,10.267000000000001,0.0,,1315.776,699.3530000000001,,,,,,,,,,,,,
4,1969,India,IND,227.92901623195598,4.745043796032,460.8415757198046,0.0,79.72112933240801,2.0132838328480003,0.0,0.0,0.0,,10.852,0.2291,,,,,,,,,,1.1840000000000002,89.45700000000001,10.543,0.26,,1427.496,775.25,,,,,,,,,,,,,
5,1970,India,IND,226.89162873537998,6.328471265485463,436.8092262088125,0.0,84.545644858684,3.633731795872,0.0,0.0,0.0,,-2.198,0.2399,,,,,,,,,,1.135,88.37,11.63,0.479,,1365.674,758.209,,,,,,,,,,,,,
6,1971,India,IND,243.33265799930402,6.706224114975001,442.8725561336615,0.0,92.733817520328,2.70074660504,0.0,0.0,0.0,,3.975,0.2437,,,,,,,,,,1.151,87.89399999999999,12.106,0.34299999999999997,,1388.256,788.346,,,,,,,,,,,,,
7,1972,India,IND,262.383467128828,7.355912134725001,467.68346104493065,0.0,90.00851867342399,2.5657092747880004,0.0,0.0,0.0,,5.2829999999999995,0.2449,,,,,,,,,,1.182,88.846,11.154000000000002,0.309,,1428.3529999999998,829.997,,,,,,,,,,,,,
8,1973,India,IND,276.95929712281605,7.336662119325001,461.4497760579865,0.0,95.85195223705601,5.426045451944001,0.0,0.0,0.0,,2.051,0.2471,,,,,,,,,,1.122,88.04299999999999,11.957,0.6409999999999999,,1424.12,847.0239999999999,,,,,,,,,,,,,
9,1974,India,IND,271.54317834548004,8.303975393175,520.8565187942819,0.0,92.23049656211599,4.996381219324,0.0,0.0,0.0,,6.01,0.2406,,,,,,,,,,1.197,89.17200000000001,10.828,0.556,,1474.911,897.931,,,,,,,,,,,,,
